timestamp,step,total_steps,consumed_samples,elapsed_ms,learning_rate,global_batch_size,lm_loss,loss_scale,grad_norm,skipped_iterations,nan_iterations,step_time_s,tflops_per_gpu,step_time_source,progress,epoch,samples_per_sec,tokens_per_sec,tokens_per_sec_per_gpu,perplexity,is_checkpoint_step,status,lm_loss_rolling_mean,step_time_rolling_mean_s
2026-08-27 11:52:19,115,276,920,30646.1,6.9308e-05,8,0.7602726,1.0,35.577,0,0,30.65,365.3,Step Time,0.4166666666666667,0.8348457350272233,0.2610114192495922,25658.46655791191,3207.3083197389888,2.138859194050211,False,grad_norm_spike,0.48868506,30.669
2026-08-27 11:52:57,116,276,928,38019.2,6.880501e-05,8,0.3917757,1.0,0.198,0,0,38.02,294.4,Step Time,0.42028985507246375,0.8421052631578947,0.21041557075223566,20684.692267227772,2585.5865334034715,1.4796057985990334,False,,0.48597521,31.324
2026-08-27 11:53:22,117,276,936,24068.8,6.830012e-05,8,0.5941402,1.0,0.212,0,0,24.07,465.1,Step Time,0.42391304347826086,0.8493647912885662,0.3323639385126714,32672.704611549645,4084.0880764437056,1.8114727709086953,False,,0.50190998,31.393
2026-08-27 11:53:52,118,276,944,30469.5,6.779338e-05,8,0.5552783,1.0,2.245,0,0,30.47,367.4,Step Time,0.427536231884058,0.8566243194192378,0.2625533311453889,25810.042664916313,3226.255333114539,1.7424258344138361,False,grad_norm_spike,0.51821679,30.711000000000002
2026-08-27 11:54:15,119,276,952,23113.3,6.728488e-05,8,0.5132793,1.0,0.182,0,0,23.11,484.3,Step Time,0.4311594202898551,0.8638838475499092,0.34617048896581565,34029.94374729555,4253.742968411943,1.670761148268536,False,,0.52220153,29.624000000000002
2026-08-27 11:54:46,120,276,960,30435.0,6.677466e-05,8,0.4846808,1.0,0.219,0,0,30.43,367.8,Step Time,0.43478260869565216,0.8711433756805808,0.2628984554715741,25843.969766677623,3230.496220834703,1.6236566549150946,False,,0.54066196,30.229000000000003
2026-08-27 11:55:24,121,276,968,37993.5,6.626283e-05,8,0.5048857,1.0,0.135,0,0,37.99,294.6,Step Time,0.4384057971014493,0.8784029038112523,0.21058173203474598,20701.02658594367,2587.6283232429587,1.656796137839285,False,,0.54445714,30.952999999999996
2026-08-27 11:55:47,122,276,976,23780.7,6.574943e-05,8,0.4764893,1.0,0.132,0,0,23.78,470.7,Step Time,0.4420289855072464,0.8856624319419237,0.33641715727502103,33071.15222876367,4133.894028595459,1.6104107972151125,False,,0.5488298699999999,30.941000000000003
2026-08-27 11:56:32,123,276,984,44442.7,6.523455e-05,8,0.4250407,1.0,0.175,0,0,44.44,251.9,Step Time,0.44565217391304346,0.8929219600725953,0.18001800180018002,17696.489648964896,2212.061206120612,1.5296526752603519,False,,0.54466551,32.224000000000004
2026-08-27 11:56:55,124,276,992,23516.9,6.471825e-05,8,0.3735714,1.0,0.154,0,0,23.52,476.0,Step Time,0.4492753623188406,0.9001814882032668,0.3401360544217687,33436.73469387755,4179.591836734694,1.452914297921,False,,0.5079414,30.648000000000003
2026-08-27 11:57:39,125,276,1000,44115.5,6.42006e-05,8,0.4153289,1.0,0.335,0,0,44.12,253.7,Step Time,0.4528985507246377,0.9074410163339383,0.1813236627379873,17824.841341795105,2228.105167724388,1.514868899146329,False,,0.47344703,31.994999999999997
2026-08-27 11:58:04,126,276,1008,24435.6,6.368167e-05,8,0.5068338,1.0,0.162,0,0,24.44,458.1,Step Time,0.45652173913043476,0.9147005444646098,0.3273322422258592,32178.068739770864,4022.258592471358,1.6600268882861327,False,,0.48495283999999994,30.637
2026-08-27 11:58:35,127,276,1016,30870.4,6.316155e-05,8,0.4337975,1.0,0.287,0,0,30.87,362.6,Step Time,0.4601449275362319,0.9219600725952813,0.25915127955944284,25475.607385811465,3184.450923226433,1.5431063574384676,False,,0.46891857000000003,31.317
2026-08-27 11:59:05,128,276,1024,30112.1,6.26403e-05,8,0.4575682,1.0,0.261,0,0,30.11,371.7,Step Time,0.463768115942029,0.9292196007259528,0.2656924609764198,26118.631683825974,3264.8289604782467,1.5802265139139091,False,,0.45914756,31.281
2026-08-27 11:59:29,129,276,1032,23728.7,6.211799e-05,8,0.451791,1.0,0.206,0,0,23.73,471.7,Step Time,0.4673913043478261,0.9364791288566243,0.337126000842815,33140.83438685208,4142.60429835651,1.5711235494393017,False,,0.45299873,31.343
2026-08-27 11:59:52,130,276,1040,23296.5,6.159468e-05,8,0.3822783,1.0,0.183,0,0,23.3,480.5,Step Time,0.47101449275362317,0.9437386569872959,0.34334763948497854,33752.44635193133,4219.055793991416,1.4656199104025065,False,,0.44275848,30.630000000000003
2026-08-27 12:00:16,131,276,1048,24327.9,6.107048e-05,8,0.3728932,1.0,0.157,0,0,24.33,460.1,Step Time,0.4746376811594203,0.9509981851179673,0.3288121660501439,32323.551171393345,4040.443896424168,1.4519292655063976,False,,0.42955923,29.264
