experiment,step,planned_steps,epoch,loss,learning_rate,grad_norm,skipped,nan
pc8-v2.1,50,252,0.39603960396039606,0.4522527,9.357916e-05,0.262,0,0
pc8-v2.1,51,252,0.403960396039604,0.574155,9.32777e-05,3.895,0,0
pc8-v2.1,52,252,0.41188118811881186,0.4117967,9.29699e-05,0.106,0,0
pc8-v2.1,53,252,0.4198019801980198,0.4986016,9.265581e-05,0.109,0,0
pc8-v2.1,54,252,0.4277227722772277,0.4272906,9.233547e-05,0.132,0,0
pc8-v2.1,55,252,0.43564356435643564,0.44118,9.200894e-05,0.882,0,0
pc8-v2.1,56,252,0.44356435643564357,0.3488743,9.167627e-05,0.108,0,0
pc8-v2.1,57,252,0.4514851485148515,0.3876356,9.133753e-05,0.116,0,0
pc8-v2.1,58,252,0.4594059405940594,0.5408228,9.099277e-05,0.163,0,0
pc8-v2.1,59,252,0.46732673267326735,0.5132289,9.064203e-05,0.486,0,0
pc8-v2.1,60,252,0.4752475247524752,0.3494267,9.028539e-05,0.114,0,0
pc8-v2.1,61,252,0.48316831683168315,0.3614838,8.99229e-05,0.141,0,0
pc8-v2.1,62,252,0.4910891089108911,0.4483203,8.955462e-05,0.158,0,0
pc8-v2.1,63,252,0.499009900990099,0.4836657,8.918061e-05,0.148,0,0
pc8-v2.1,64,252,0.5069306930693069,0.4652572,8.880094e-05,0.108,0,0
pc8-v2.1,65,252,0.5148514851485149,0.7667075,8.841566e-05,9.497,0,0
pc8-v2.1,66,252,0.5227722772277228,0.3534691,8.802484e-05,0.122,0,0
pc8-v2.1,67,252,0.5306930693069307,0.530365,8.762855e-05,0.116,0,0
pc8-v2.1,68,252,0.5386138613861386,0.3712431,8.722685e-05,0.122,0,0
pc8-v2.1,69,252,0.5465346534653466,0.4092894,8.68198e-05,0.18,0,0
pc8-v2.1,70,252,0.5544554455445545,0.413536,8.640749e-05,0.159,0,0
pc8-v2.1,71,252,0.5623762376237624,0.4731207,8.598996e-05,0.299,0,0
pc8-v2.1,72,252,0.5702970297029702,0.5141246,8.55673e-05,0.129,0,0
